,frame_index,car_id,car_type,speed
364,136,10,car,380.0
365,136,17,car,140.0
366,136,21,car,140.0
367,136,25,truck,240.0
368,137,10,car,420.0
369,137,21,car,140.0
370,137,25,truck,260.0
371,138,10,car,440.0
372,138,21,car,140.0
373,138,25,truck,240.0
374,139,10,car,500.0
375,139,17,car,140.0
376,139,21,car,140.0
377,139,25,truck,200.0
378,139,26,car,300.0
379,140,10,car,520.0
380,140,17,car,160.0
381,140,21,car,140.0
382,140,25,truck,200.0
383,140,26,car,320.0
384,141,10,car,520.0
385,141,17,car,160.0
386,141,25,truck,240.0
387,141,26,car,380.0
388,142,10,car,540.0
389,142,17,car,160.0
390,142,25,truck,220.0
391,142,26,car,460.0
392,143,10,car,620.0
393,143,17,car,140.0
394,143,25,truck,180.0
395,143,26,car,460.0
396,144,10,car,660.0
397,144,17,car,160.0
398,144,21,car,140.0
399,144,25,truck,180.0
400,144,26,car,420.0
401,145,10,car,660.0
402,145,17,car,160.0
403,145,21,car,140.0
404,145,25,truck,220.0
405,145,26,car,420.0
406,146,10,car,720.0
407,146,17,car,200.0
408,146,25,truck,200.0
409,146,26,car,400.0
410,147,10,car,780.0
411,147,17,car,200.0
412,147,25,truck,140.0
413,147,26,car,360.0
414,148,10,car,880.0
415,148,17,car,180.0
416,148,25,truck,140.0
417,148,26,car,340.0
418,149,10,car,960.0
419,149,17,car,200.0
420,149,25,truck,160.0
421,149,26,car,360.0
422,150,10,car,1000.0
423,150,17,car,220.0
424,150,25,truck,140.0
425,150,26,car,320.0
426,151,10,car,1100.0
427,151,17,car,240.0
428,151,25,truck,140.0
429,151,26,car,300.0
430,152,17,car,200.0
431,152,25,truck,120.0
432,152,26,car,320.0
433,153,17,car,240.0
434,153,25,truck,140.0
435,153,26,car,300.0
436,154,17,car,260.0
437,154,23,truck,80.0
438,154,25,truck,140.0
439,154,26,car,300.0
440,155,17,car,260.0
441,155,25,truck,140.0
442,155,26,car,280.0
443,156,17,car,260.0
444,156,25,truck,140.0
445,156,26,car,280.0
446,157,17,car,280.0
447,157,25,truck,100.0
448,157,26,car,260.0
449,158,17,car,280.0
450,158,25,truck,120.0
451,158,26,car,260.0
452,158,29,car,340.0
453,159,17,car,280.0
454,159,25,truck,100.0
455,159,26,car,280.0
456,159,29,car,340.0
457,160,17,car,320.0
458,160,25,truck,120.0
459,160,26,car,260.0
460,160,29,car,340.0
461,161,17,car,360.0
462,161,25,truck,120.0
463,161,26,car,220.0
464,161,29,car,260.0
465,162,17,car,360.0
466,162,25,truck,100.0
467,162,26,car,220.0
468,162,29,car,260.0
469,163,17,car,360.0
470,163,25,truck,100.0
471,163,26,car,240.0
472,163,29,car,320.0
473,164,17,car,400.0
474,164,25,truck,100.0
475,164,26,car,240.0
476,164,29,car,300.0
477,165,17,car,400.0
478,165,25,truck,100.0
479,165,26,car,220.0
480,165,29,car,280.0
481,166,17,car,420.0
482,166,25,truck,80.0
483,166,26,car,200.0
484,166,29,car,260.0
485,167,17,car,480.0
486,167,25,truck,80.0
487,167,26,car,220.0
488,167,29,car,240.0
489,168,17,car,500.0
490,168,25,truck,80.0
491,168,26,car,200.0
492,168,29,car,220.0
493,169,17,car,520.0
494,169,26,car,200.0
495,169,29,car,240.0
496,170,17,car,540.0
497,170,25,truck,80.0
498,170,26,car,200.0
499,170,29,car,260.0
500,171,17,car,600.0
501,171,25,truck,100.0
502,171,26,car,180.0
503,171,29,car,240.0
504,172,17,car,620.0
505,172,25,truck,100.0
506,172,26,car,160.0
507,172,29,car,220.0
508,173,17,car,660.0
509,173,25,truck,80.0
510,173,26,car,180.0
511,173,29,car,200.0
512,174,17,car,700.0
513,174,25,truck,80.0
514,174,26,car,180.0
515,174,29,car,200.0
516,175,17,car,780.0
517,175,25,truck,100.0
518,175,26,car,160.0
519,175,29,car,180.0
520,176,17,car,840.0
521,176,25,truck,80.0
522,176,26,car,180.0
